subject	age	male	educationYears	transferP1	transferP2	ingroupPairing	perepkaP2	ngenikaP2
1811	20	1	6	0	4	1	0	1
1811	20	1	6	1	5	1	0	1
1811	20	1	6	2	5	1	0	1
1811	20	1	6	3	5	1	0	1
1811	20	1	6	4	5	1	0	1
1811	20	1	6	5	5	1	0	1
1812	25	1	6	0	5	1	0	1
1812	25	1	6	1	5	1	0	1
1812	25	1	6	2	5	1	0	1
1812	25	1	6	3	5	1	0	1
1812	25	1	6	4	5	1	0	1
1812	25	1	6	5	5	1	0	1
1901	18	0	7	0	0	1	1	0
1901	18	0	7	1	0	1	1	0
1901	18	0	7	2	0	1	1	0
1901	18	0	7	3	0	1	1	0
1901	18	0	7	4	0	1	1	0
1901	18	0	7	5	0	1	1	0
1902	31	0	4	0	0	1	1	0
1902	31	0	4	1	2	1	1	0
1902	31	0	4	2	2	1	1	0
1902	31	0	4	3	2	1	1	0
1902	31	0	4	4	4	1	1	0
1902	31	0	4	5	5	1	1	0
1903	33	0	6	0	1	1	1	0
1903	33	0	6	1	0	1	1	0
1903	33	0	6	2	4	1	1	0
1903	33	0	6	3	5	1	1	0
1903	33	0	6	4	5	1	1	0
1903	33	0	6	5	5	1	1	0
1904	32	1	10	0	0	0	0	1
1904	32	1	10	1	1	0	0	1
1904	32	1	10	2	2	0	0	1
1904	32	1	10	3	3	0	0	1
1904	32	1	10	4	4	0	0	1
1904	32	1	10	5	5	0	0	1
1905	18	1	10	0	0	0	0	1
1905	18	1	10	1	1	0	0	1
1905	18	1	10	2	1	0	0	1
1905	18	1	10	3	2	0	0	1
1905	18	1	10	4	2	0	0	1
1905	18	1	10	5	3	0	0	1
1906	18	1	5	0	0	0	0	1
1906	18	1	5	1	0	0	0	1
1906	18	1	5	2	2	0	0	1
1906	18	1	5	3	2	0	0	1
1906	18	1	5	4	2	0	0	1
1906	18	1	5	5	4	0	0	1
1907	22	0	9	0	1	0	1	0
1907	22	0	9	1	1	0	1	0
1907	22	0	9	2	1	0	1	0
1907	22	0	9	3	1	0	1	0
1907	22	0	9	4	1	0	1	0
1907	22	0	9	5	1	0	1	0
1908	19	1	12	0	0	0	1	0
1908	19	1	12	1	1	0	1	0
1908	19	1	12	2	1	0	1	0
1908	19	1	12	3	1	0	1	0
1908	19	1	12	4	2	0	1	0
1908	19	1	12	5	3	0	1	0
1909	34	0	10	0	0	0	1	0
1909	34	0	10	1	0	0	1	0
1909	34	0	10	2	0	0	1	0
1909	34	0	10	3	0	0	1	0
1909	34	0	10	4	0	0	1	0
1909	34	0	10	5	0	0	1	0
1910	28	1	6	0	1	1	0	1
1910	28	1	6	1	1	1	0	1
1910	28	1	6	2	1	1	0	1
1910	28	1	6	3	3	1	0	1
1910	28	1	6	4	4	1	0	1
1910	28	1	6	5	5	1	0	1
1911	55	1	4	0	0	1	0	1
1911	55	1	4	1	1	1	0	1
1911	55	1	4	2	2	1	0	1
1911	55	1	4	3	3	1	0	1
1911	55	1	4	4	4	1	0	1
1911	55	1	4	5	5	1	0	1
1912	21	1	5	0	0	1	0	1
1912	21	1	5	1	1	1	0	1
1912	21	1	5	2	2	1	0	1
1912	21	1	5	3	3	1	0	1
1912	21	1	5	4	4	1	0	1
1912	21	1	5	5	5	1	0	1
